gt_pothole_id,frame_id,x1,y1,x2,y2
P1,230,611,583,1300,778
P1,231,602,589,1083,762
P1,232,600,593,1081,766
P1,233,602,595,1083,768
P1,234,602,600,1093,776
P1,235,605,602,1096,778
P1,236,610,604,1091,777
P1,237,633,613,1105,783
P1,238,622,611,1113,787
P1,239,608,608,1129,795
P1,240,614,614,1124,798
P1,241,613,614,1144,805
P1,242,618,621,1139,808
P1,243,618,622,1149,813
P1,244,618,624,1171,823
P1,245,621,632,1163,827
P1,246,627,635,1169,830
P1,247,629,636,1182,835
P1,248,626,640,1190,843
P1,249,625,642,1200,849
P1,250,627,647,1202,854
P1,251,624,647,1210,858
P1,252,627,652,1213,863
P1,253,625,653,1223,868
P1,254,625,657,1223,872
P1,255,622,656,1232,875
P1,256,624,660,1234,879
P1,257,620,660,1242,884
P1,258,620,668,1242,892
P1,259,612,664,1259,897
P1,260,606,666,1266,903
P1,261,622,687,1157,833
P1,262,621,689,1156,835
P1,263,625,693,1150,836
P1,264,627,695,1152,838
P1,265,628,697,1153,840
P1,266,622,699,1157,845
P1,267,624,701,1159,847
P1,268,628,703,1163,849
P1,269,620,701,1177,853
P1,270,617,699,1185,854
P1,271,620,700,1188,855
P1,272,622,699,1190,854
P1,273,624,698,1192,853
P1,274,626,697,1194,852
P1,275,628,696,1196,851
P1,276,629,693,1197,848
P1,277,631,693,1199,848
P1,278,634,691,1202,846
P1,279,636,688,1204,843
P1,280,640,686,1208,841
P1,281,641,684,1209,839
P1,282,642,682,1210,837
P1,283,643,681,1211,836
P1,284,644,679,1212,834
P1,285,644,677,1212,832
P1,286,645,676,1213,831
P1,287,643,674,1211,829
P1,288,643,672,1211,827
P1,289,641,671,1209,826
P1,290,642,668,1210,823
P1,301,633,677,1186,832
P1,302,622,673,1197,834
P1,303,620,672,1195,833
P1,304,622,674,1186,832
P1,305,616,671,1191,832
P1,306,618,671,1182,829
P1,307,614,669,1189,830
P1,308,610,668,1185,829
P1,309,607,666,1182,827
P1,310,605,665,1180,826
P1,311,607,665,1171,823
P1,312,600,662,1175,823
P1,313,589,658,1176,822
P1,314,599,662,1163,820
P1,315,597,660,1161,818
P1,316,592,656,1167,817
P1,317,591,657,1155,815
P1,318,590,656,1154,814
P1,319,588,654,1152,812
P1,320,588,652,1152,810
P1,321,579,651,1143,809
P1,322,582,652,1135,807
P1,323,573,646,1137,804
P1,324,572,645,1136,803
P1,325,565,640,1140,801
P1,326,562,637,1137,798
P1,327,557,635,1132,796
P1,328,558,634,1122,792
P1,329,552,630,1127,791
P1,330,548,628,1123,789
P1,331,550,629,1114,787
P1,332,543,626,1118,787
P1,333,544,628,1108,786
P1,334,544,628,1108,786
P1,335,548,629,1101,784
P1,336,547,629,1100,784
P1,337,551,629,1093,781
P1,338,549,629,1091,781
P1,339,548,629,1090,781
P1,340,546,628,1088,780
P1,341,548,628,1090,780
P1,342,547,627,1089,779
P1,343,545,627,1087,779
P1,344,546,627,1088,779
P1,345,545,626,1087,778
P1,346,545,627,1087,779
P1,347,545,627,1087,779
P1,348,546,627,1088,779
P1,349,545,627,1087,779
P1,350,546,627,1088,779
P1,351,547,628,1089,780
P1,352,548,629,1090,781
P1,353,543,629,1096,784
P1,354,547,631,1089,783
P1,355,549,632,1091,784
P1,356,550,633,1092,785
P1,357,551,634,1093,786
P1,358,552,635,1094,787
P1,359,553,636,1095,788
P1,360,553,638,1095,790
P1,361,543,635,1129,811
P1,362,551,637,1126,810
P1,363,554,638,1129,811
P1,364,565,641,1117,807
P1,365,573,644,1104,803
P1,366,571,644,1112,807
P1,367,556,639,1131,812
P1,368,550,640,1136,816
P1,369,548,641,1146,821
P1,370,544,642,1154,825
P1,371,549,647,1147,827
P1,372,549,645,1159,828
P1,373,557,652,1155,832
P1,374,551,651,1161,834
P1,375,551,652,1161,835
P1,376,558,657,1156,837
P1,377,558,655,1168,838
P1,378,558,659,1168,842
P1,379,553,660,1175,847
P1,380,570,666,1168,846
P1,381,562,666,1172,849
P1,382,569,670,1167,850
P1,383,566,673,1176,856
P1,384,575,676,1173,856
P1,385,572,678,1182,861
P1,386,574,682,1184,865
P1,387,570,683,1192,870
P1,388,573,688,1183,871
P1,389,583,691,1181,871
P1,390,584,692,1182,872
P1,391,581,695,1191,878
P1,392,582,698,1192,881
P1,393,585,702,1195,885
P1,394,583,705,1193,888
P1,395,586,710,1196,893
P1,396,586,713,1196,896
P1,397,592,719,1190,899
P1,398,592,725,1190,905
P1,399,593,730,1191,910
P1,400,591,734,1189,914
P2,1,616,195,695,227
P2,2,616,199,695,231
P2,3,618,202,697,234
P2,4,619,206,695,237
P2,5,620,210,693,240
P2,6,622,213,696,243
P2,7,621,216,697,247
P2,8,621,220,698,251
P2,9,621,224,698,255
P2,10,622,228,699,259
P2,11,623,233,697,263
P2,12,624,237,700,268
P2,13,623,243,699,274
P2,14,625,247,699,277
P2,15,626,254,698,283
P2,16,628,261,700,290
P2,17,628,267,700,296
P2,18,630,274,702,303
P2,19,629,281,703,311
P2,20,630,288,704,318
P2,21,632,295,708,326
P2,22,630,305,711,338
P2,23,634,314,713,346
P2,24,632,324,716,358
P2,25,634,335,720,370
P2,26,637,347,723,382
P2,27,640,359,724,393
P2,28,646,373,727,406
P2,29,645,385,727,418
P2,30,651,399,730,431
P2,31,650,411,734,445
P2,32,656,425,737,458
P2,33,655,435,739,469
P2,34,661,448,740,480
P2,35,660,458,742,491
P2,36,662,468,746,502
P2,37,666,478,750,512
P2,38,670,488,751,521
P2,39,669,497,753,531
P2,40,675,507,754,539
P2,41,677,515,756,547
P2,42,677,523,758,556
P2,43,679,532,761,565
P2,44,680,539,762,572
P2,45,680,547,764,581
P2,46,682,555,766,589
P2,47,683,562,767,596
P2,48,688,569,769,602
P2,49,686,574,770,608
P2,50,688,581,770,614
P2,51,689,586,771,619
P2,52,690,590,772,623
P2,53,690,595,774,629
P2,54,694,601,775,634
P2,55,696,605,775,637
P2,56,695,609,776,642
P2,57,696,613,777,646
P2,58,698,617,777,649
P2,59,697,621,778,654
P2,60,697,623,779,656
P2,61,698,627,780,660
P2,62,698,629,780,662
P2,63,698,631,780,664
P2,64,699,634,780,667
P2,65,700,635,782,668
P2,66,700,636,784,670
P2,67,700,640,784,674
P2,68,701,640,787,675
P2,69,701,642,787,677
P2,70,701,643,787,678
P2,71,701,644,787,679
P2,72,702,645,788,680
P2,73,701,645,788,680
P2,74,701,646,788,681
P2,75,702,647,789,682
P2,76,703,648,789,683
P2,77,702,647,791,683
P2,78,697,647,790,684
P2,79,702,648,789,683
P2,80,701,648,788,683
P2,81,702,648,788,683
P2,82,701,647,787,682
P2,83,701,646,787,681
P2,84,702,646,788,681
P2,85,701,646,788,681
P2,86,700,645,786,680
P2,87,700,645,786,680
P2,88,700,644,786,679
P2,89,700,644,784,678
P2,90,701,643,785,677
P2,91,700,641,784,675
P2,92,700,641,784,675
P2,93,700,640,784,674
P2,94,700,639,782,672
P2,95,701,638,782,671
P2,96,702,637,779,668
P2,97,702,636,781,668
P2,98,702,635,781,667
P2,99,702,633,781,665
P2,100,703,633,779,664
P2,101,703,631,782,663
P2,102,703,629,780,660
P2,103,703,628,782,660
P2,104,703,626,782,658
P2,105,704,626,780,657
P2,106,704,625,781,656
P2,107,704,623,781,654
P2,108,704,622,781,653
P2,109,703,619,785,652
P2,110,704,619,783,651
P2,111,704,618,781,649
P2,112,706,617,780,647
P2,113,706,616,782,647
P2,114,705,614,784,646
P2,115,705,612,784,644
P2,116,705,611,784,643
P2,117,706,610,783,641
P2,118,705,607,786,640
P2,119,706,606,787,639
P2,120,705,605,786,638
P2,121,706,604,783,635
P2,122,706,603,783,634
P2,123,706,602,783,633
P2,124,706,601,783,632
P2,125,706,599,783,630
P2,126,706,598,785,630
P2,127,704,597,788,631
P2,128,704,596,788,630
P2,129,706,593,790,627
P2,130,708,593,787,625
P2,131,709,591,788,623
P2,132,710,590,791,623
P2,133,710,590,791,623
P2,134,711,588,792,621
P2,135,712,587,791,619
P2,136,714,586,791,617
P2,137,714,583,795,616
P2,138,715,582,794,614
P2,139,716,580,795,612
P2,140,721,581,797,612
P2,141,718,578,799,611
P2,142,718,573,804,608
P2,143,719,573,806,608
P2,144,722,573,806,607
P2,145,724,571,810,606
P2,146,726,570,812,605
P2,147,728,568,815,603
P2,148,730,568,819,604
P2,149,731,568,820,604
P2,150,732,568,819,603
P2,151,734,567,821,602
