detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D1,0,166,376,658,538,P1,0,0.5896722
D2,20,67,229,333,280,P4,21,0.6086956
D3,40,605,165,806,207,P14,40,0.8169091
D7,120,658,354,804,415,P16,120,0.7489604
D8,140,229,196,359,226,P24,138,0.5601966
D9,171,274,191,405,215,P31,170,0.6551164
D10,191,337,179,490,207,P33,189,0.81325865
D11,211,306,190,424,207,P34,211,0.6326996
D12,231,207,197,320,218,P40,231,0.58659923
D13,251,723,208,880,246,P37,249,0.76372164
D14,272,362,144,436,155,P43,270,0.6138614
D17,333,620,174,946,234,P42,335,0.6622773
D18,360,621,324,808,381,P46,360,0.70607
D21,460,206,242,343,267,P58,459,0.66630197
D22,480,175,274,315,315,P59,478,0.50958186
D24,521,149,258,255,287,P64,521,0.6178074
D27,582,587,397,747,449,P67,583,0.56177884
D29,622,691,350,852,419,P70,622,0.75005877
D30,642,439,201,525,218,P74,641,0.7284542
