detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D149,91,507,341,566,365,P11,91,0.8372093
D161,95,3,770,82,893,P16,95,0.85311675
D213,126,7,580,566,896,P19,125,0.9787108
D410,218,0,445,488,556,P18,217,0.9761587
D416,220,0,378,130,436,P20,219,0.94098145
D451,240,384,497,531,547,P8,240,0.8195122
D479,260,292,477,463,560,P9,261,0.9317544
D497,268,78,456,180,515,P3,267,0.89571863
D565,307,471,283,526,301,P14,307,0.8947368
D661,328,410,329,461,354,P15,328,0.908686
D787,409,375,311,471,345,P12,409,0.58026665
D1239,579,209,371,403,417,P2,577,0.83419687
D1417,624,392,351,458,374,P1,624,0.91650856
D1518,653,67,375,406,492,P13,654,0.8965187
D1534,656,336,301,404,326,P17,657,0.79384464
