detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D8,80,501,423,556,447,P3,80,0.78743607
D14,140,2,827,566,1024,P19,140,0.7941255
D23,220,0,378,130,436,P20,219,0.94098145
D26,220,1,449,482,562,P18,220,0.9743417
D27,240,384,497,531,547,P8,240,0.8195122
D29,260,292,477,463,560,P9,261,0.9317544
D32,300,140,335,389,431,P2,299,0.7614379
D37,320,319,267,365,283,P14,320,0.69
D39,340,230,322,281,350,P15,340,0.816
D77,623,395,351,458,372,P1,624,0.84931505
D79,643,353,320,418,341,P17,643,0.69219065
D81,643,129,373,421,449,P13,641,0.7427001
