detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D1,0,166,376,658,538,P1,0,0.5896722
D23,15,205,318,357,392,P2,17,0.58490396
D137,49,0,234,157,290,P5,48,0.9181325
D144,51,1,355,469,505,P4,52,0.9132609
D163,56,625,175,871,231,P14,57,0.9271255
D250,76,70,234,278,285,P12,75,0.79424626
D272,80,179,200,343,232,P13,78,0.8374026
D289,84,871,451,959,529,P9,86,0.7758869
D294,85,568,364,716,435,P10,85,0.9592691
D397,110,292,158,374,175,P24,108,0.8604651
D419,119,669,348,781,409,P16,119,0.90311986
D444,123,11,194,174,220,P20,121,0.89075035
D461,128,0,257,68,298,P19,128,0.5862069
D483,134,665,397,815,466,P26,134,0.7285051
D528,145,294,391,556,486,P22,145,0.8227212
D535,147,0,344,195,468,P18,146,0.7936311
D577,176,256,199,407,229,P31,174,0.87240666
D619,195,273,150,344,161,P40,193,0.9305556
D637,201,540,482,676,536,P29,201,0.70987654
D639,202,337,201,497,231,P33,200,0.94375
D660,208,333,434,576,498,P30,208,0.85053325
D709,225,293,218,422,244,P34,224,0.9612403
D721,231,841,240,949,271,P38,232,0.7258065
D803,251,775,326,927,366,P35,252,0.8624028
D808,252,744,258,887,300,P36,251,0.8533917
D853,260,769,227,951,277,P37,260,0.94417584
D964,304,297,203,385,222,P44,302,0.9372781
D1043,329,625,303,707,332,P45,328,0.8500797
D1075,337,649,177,955,252,P42,336,0.8347059
D1112,348,292,307,720,406,P43,347,0.8785047
D1144,361,642,342,829,401,P46,361,0.84819275
D1166,416,316,193,403,213,P52,414,0.71079135
D1205,449,0,249,211,314,P51,448,0.91804564
D1222,460,686,215,959,324,P41,459,0.5706989
D1241,465,237,229,331,250,P59,464,0.8627622
D1283,481,46,352,312,426,P58,481,0.87458307
D1333,514,207,397,462,473,P61,515,0.83497053
D1343,520,127,314,251,359,P62,520,0.72727275
D1365,532,65,318,208,364,P64,531,0.74832666
D1384,547,538,324,710,385,P65,547,0.75622743
D1425,581,589,392,736,440,P67,582,0.66241497
D1450,594,186,209,349,244,P71,595,0.6478608
D1462,600,538,218,635,250,P70,600,0.92267567
D1535,648,780,253,958,307,P72,649,0.9079098
D1545,653,456,236,538,263,P74,653,0.92134833
D1573,676,774,236,851,261,P77,676,0.61823803
D1592,684,533,448,698,537,P75,684,0.86619
D1598,687,367,141,430,150,P82,687,0.732
D1599,688,520,169,614,186,P83,687,0.89361703
