detection_id,predicted_frame_id,x1_predicted,y1_predicted,x2_predicted,y2_predicted,gt_id,gt_frame_id,iou
D1,0,166,376,658,538,P1,0,0.5896722
D3,11,587,142,730,174,P14,9,0.70950705
D4,15,203,317,361,391,P2,17,0.56269246
D5,15,165,180,260,205,P5,15,0.8292683
D11,75,537,296,651,342,P10,76,0.6237898
D14,93,560,237,624,260,P16,91,0.7956757
D17,109,292,158,376,174,P24,107,0.8363136
D18,118,614,296,689,321,P26,118,0.5933908
D20,122,18,193,173,218,P20,121,0.831458
D22,135,329,315,543,372,P22,135,0.7432629
D25,171,274,191,405,215,P31,170,0.6551164
D26,188,347,176,480,201,P33,186,0.8863763
D27,191,277,146,348,157,P40,189,0.92957747
D28,198,336,171,414,184,P34,196,0.74375576
D29,205,303,390,584,449,P30,205,0.71355206
D31,231,839,239,946,270,P38,232,0.73258966
D32,241,686,189,813,220,P37,239,0.7612931
D34,246,710,237,832,272,P36,246,0.7109816
D35,248,746,306,905,341,P35,249,0.7629428
D45,319,593,157,844,202,P42,317,0.60472214
D47,330,628,306,714,337,P45,329,0.79591835
D49,339,521,216,646,242,P46,337,0.72
D56,460,206,242,343,267,P58,459,0.66630197
D57,461,687,218,960,329,P41,461,0.5411938
D60,466,239,231,330,252,P59,464,0.76502734
D63,510,232,345,463,402,P61,510,0.7332925
D64,515,181,240,254,260,P64,514,0.6293706
D67,545,535,306,692,358,P65,545,0.7539217
D70,582,587,397,747,449,P67,583,0.56177884
D73,613,631,280,733,321,P70,614,0.6346999
D77,636,690,205,833,242,P72,635,0.68380266
D83,666,455,308,607,361,P74,666,0.7609723
